company,date,salary,url,title,skills,recruiter,location,field
ATI,2025-07-01,65000.0,https://jobright.ai/jobs/info/68634b23ec748bccb848c273?utm_campaign=Business%20Analyst&utm_source=1103,Business Systems Analyst,"['Excel proficiency', 'Spreadsheet formulas']",N/A,"Albany, OR",Business Analyst
"Gaming Laboratories International, LLC",2025-06-27,80000.0,https://jobright.ai/jobs/info/685e0b6cce08e482ea1b2bf7?utm_campaign=Business%20Analyst&utm_source=1103,Commercial Business Analyst,"['Microsoft Excel', 'Microsoft Office', 'Microsoft Word', 'Microsoft PowerPoint']",N/A,"Las Vegas, NV",Business Analyst
Lumen Technologies,2025-07-01,66000.0,https://jobright.ai/jobs/info/68632f1ffb761b1eafaa2beb?utm_campaign=Business%20Analyst&utm_source=1103,Business Systems Solutions Analyst II,"['Process Improvement', 'Process Documentation', 'Metrics Reporting', 'Project Management', 'Stakeholder Management', 'Use Case Creation', 'Cross-Functional Collaboration', 'Operational Performance Analysis', 'Compliance Monitoring']",N/A,United States,Business Analyst
"ATS Automation, Inc",2025-07-01,60000.0,https://jobright.ai/jobs/info/6863330695ac3b1c682ba5ef?utm_campaign=Business%20Analyst&utm_source=1103,Business Operations Coordinator,['Microsoft Office Suite'],N/A,"Renton, WA",Business Analyst
AltaGas Ltd.,2025-06-27,65000.0,https://jobright.ai/jobs/info/685eed7e4e5f63826209c7fc?utm_campaign=Business%20Analyst&utm_source=1103,WGL Energy - Business Analyst,"['Accounting experience', 'Financial experience', 'Business experience', 'Project management', 'Microsoft Office Suite']",N/A,"Vienna, VA",Business Analyst
PSEG,2025-06-30,65000.0,https://jobright.ai/jobs/info/68634059dd8619f403d85a99?utm_campaign=Business%20Analyst&utm_source=1103,10952 Sr Associate IT Business Analyst,N/A,N/A,"Newark, NJ",Business Analyst
The Joint Commission,2025-07-01,62000.0,https://jobright.ai/jobs/info/6863515f060dab0b62ab66b1?utm_campaign=Business%20Analyst&utm_source=1103,Accreditation Business Analyst,"['Business operations experience', 'Project management skills', 'Multi-project management']",N/A,"Oakbrook Terrace, IL",Business Analyst
Odoo,2025-07-01,55000.0,https://jobright.ai/jobs/info/68633caeae595f0d5d04833b?utm_campaign=Business%20Analyst&utm_source=1103,Business Analyst - ERP,"['ERP software understanding', 'Software passion']",N/A,"Buffalo, NY",Business Analyst
Snowflake,2025-07-01,81000.0,https://jobright.ai/jobs/info/68634708aa3a3feb64ee006b?utm_campaign=Business%20Analyst&utm_source=1103,Business Systems Analyst,"['SDLC methodology', 'Enterprise applications configuration', 'Elementum workflow automation']",N/A,"Dublin, CA",Business Analyst
AltaGas Ltd.,2025-06-27,65000.0,https://jobright.ai/jobs/info/685eed7e4e5f63826209c417?utm_campaign=Business%20Analyst&utm_source=1103,WGL Energy - Business Analyst,"['Accounting experience', 'Financial experience', 'Business experience', 'Project management', 'Microsoft Office Suite']",N/A,"Baltimore, MD",Business Analyst
Scratch Financial,2025-07-01,115000.0,https://jobright.ai/jobs/info/6863931b9a5b6ca6b25ca3de?utm_campaign=Business%20Analyst&utm_source=1103,Business Analyst,"['Management Consulting', 'Finance', 'SQL', 'Dataset Analysis']",N/A,United States,Business Analyst
UnitedHealth Group,2025-07-01,58802,https://jobright.ai/jobs/info/68638e8de27fdcd5ec5cd619?utm_campaign=Business%20Analyst&utm_source=1103,"Junior Business Analyst - Minnetonka, MN","['Business Analyst', 'Excel proficiency', 'PowerPoint proficiency']",N/A,"Minnetonka, MN",Business Analyst
Travelers,2025-07-01,76000.0,https://jobright.ai/jobs/info/685b9e94d3325f51c5099f0d?utm_campaign=Business%20Analyst&utm_source=1103,Business Systems Analyst- Intake,"['Business Systems experience', 'Data analysis expertise', 'Database structures knowledge', 'Data mapping experience', 'SQL proficiency', 'Microstrategies proficiency']",N/A,"Hartford, CT",Business Analyst
Hearst,2025-06-30,68000.0,https://jobright.ai/jobs/info/680aef4824377af781cff46a?utm_campaign=Business%20Analyst&utm_source=1103,Business Analyst,"['Financial process understanding', 'Procurement knowledge', 'Accounts payable expertise', 'Accounts receivable expertise', 'Cash management skills', 'General ledger management', 'Budgeting skills', 'Forecasting skills', 'Technology learning ability', 'Project management', 'Deadline management']",N/A,"New York, NY",Business Analyst
"ISC (Integrated Specialty Coverages, LLC)",2025-06-30,52000,https://jobright.ai/jobs/info/6801c830971a8a8d5e2203a2?utm_campaign=Business%20Analyst&utm_source=1103,Business Process Optimization Assistant I,"['Customer Service Experience', 'Microsoft Office Suite']",N/A,"Tyler, TX",Business Analyst
U.S. Bank,2025-06-28,60000.0,https://jobright.ai/jobs/info/686366667a81f4d891937490?utm_campaign=Business%20Analyst&utm_source=1103,TA Business Integration Analyst,N/A,N/A,"Milwaukee, WI",Business Analyst
"Gaming Laboratories International, LLC",2025-06-27,80000.0,https://jobright.ai/jobs/info/685dfe3bbee2fb40984e7d4d?utm_campaign=Business%20Analyst&utm_source=1103,Commercial Business Analyst,"['Microsoft Excel', 'Microsoft Office', 'Microsoft Word', 'Microsoft PowerPoint']",N/A,"Las Vegas, NV",Business Analyst
Centene Corporation,2025-07-01,55120,https://jobright.ai/jobs/info/68644463f53e0ff0031c006a?utm_campaign=Business%20Analyst&utm_source=1103,Assistive Technology Business Analyst,"['Data Processing', 'Assistive Technologies']",N/A,Remote-VA,Business Analyst
California State University-Sacramento,2025-07-01,55176.0,https://jobright.ai/jobs/info/68641eae1a8ecf1c43296877?utm_campaign=Business%20Analyst&utm_source=1103,Athletics Business Analyst,"['Business processes', 'Financial analysis', 'Budget preparation', 'Financial management', 'Purchasing policies', 'Fiscal administration', 'Office software', 'Data analysis', 'Spreadsheet creation', 'Database maintenance', 'Pivot tables', 'Report creation']",N/A,"Sacramento, CA",Business Analyst
Centene Corporation,2025-07-01,55120,https://jobright.ai/jobs/info/68644463f53e0ff0031c0069?utm_campaign=Business%20Analyst&utm_source=1103,Assistive Technology Business Analyst,"['Data Processing', 'Assistive Technologies']",N/A,Remote-FL,Business Analyst
"Midland Credit Management, an Encore Capital Group Company",2025-07-05,82000.0,https://jobright.ai/jobs/info/685dfe69bee2fb40984e85d7?utm_campaign=Business%20Analyst&utm_source=1103,Business Analyst,"['Analytical experience', 'Query design', 'MS Office proficiency', 'Excel proficiency', 'Access proficiency']",N/A,"San Diego, CA",Business Analyst
Gannett | USA TODAY NETWORK,2025-07-01,50000.0,https://jobright.ai/jobs/info/686434ab3b01d176faa7014c?utm_campaign=Business%20Analyst&utm_source=1103,Business Analyst - Operations,N/A,"Necia Razzano, PHR",United States,Business Analyst
Public Consulting Group,2025-07-01,55000.0,https://jobright.ai/jobs/info/67d41ece5cc37145e562bddb?utm_campaign=Business%20Analyst&utm_source=1103,IT Business Analyst - Public Sector (Hawaii),"['Microsoft Access', 'Microsoft PowerPoint', 'Microsoft Excel', 'Consulting experience', 'IT experience']",N/A,"Kalawao County, HI",Business Analyst
INSIGHT2PROFIT,2025-07-02,72000.0,https://jobright.ai/jobs/info/68648a7584153b63ff401eb1?utm_campaign=Business%20Analyst&utm_source=1103,Business Analyst-Campus,"['Project Management', 'Excel', 'PowerPoint', 'Personal Accountability']",N/A,"Columbus, OH",Business Analyst
Tillster,2025-07-02,65000.0,https://jobright.ai/jobs/info/68649a551b884b43e8b9578b?utm_campaign=Business%20Analyst&utm_source=1103,Business Analyst,"['Operations experience', 'Project analysis', 'Digital solutions deployment', 'Excel proficiency', 'PowerPoint proficiency', 'Data visualization', 'Dashboard creation', 'Project management']",N/A,United States,Business Analyst
Centene Corporation,2025-07-01,55120,https://jobright.ai/jobs/info/68649873f4a7b8d27ccd887f?utm_campaign=Business%20Analyst&utm_source=1103,Assistive Technology Business Analyst,"['Business Analysis', 'Requirements Gathering', 'User Acceptance Testing', 'Technical Documentation', 'Process Modeling', 'Data Analysis', 'Project Lifecycle Management', 'Service-Level Agreements', 'Help Desk Support']",N/A,"Florida, United States",Business Analyst
Sony,2025-07-01,75000.0,https://jobright.ai/jobs/info/683fb97d34ae9b14b3a26003?utm_campaign=Business%20Analyst&utm_source=1103,"Junior Business Analyst, EUSP","['IT support experience', 'Networking knowledge', 'Windows OS', 'MacOS']",N/A,"New York, United States",Business Analyst
Centene Corporation,2025-07-01,55120,https://jobright.ai/jobs/info/68644463f53e0ff0031c005f?utm_campaign=Business%20Analyst&utm_source=1103,Assistive Technology Business Analyst,"['Data Processing', 'Assistive Technologies']",N/A,Remote-FL,Business Analyst
Centene Corporation,2025-07-01,55120,https://jobright.ai/jobs/info/686578f59bb868c433e34348?utm_campaign=Business%20Analyst&utm_source=1103,Assistive Technology Business Analyst,"['Data Processing', 'Assistive Technologies']",N/A,VA,Business Analyst
Centene Corporation,2025-07-01,55120,https://jobright.ai/jobs/info/68649885f4a7b8d27ccd8c7b?utm_campaign=Business%20Analyst&utm_source=1103,Assistive Technology Business Analyst,"['Business Analysis', 'Requirements Gathering', 'User Acceptance Testing', 'Technical Documentation', 'Process Modeling', 'Data Analysis', 'Project Lifecycle Management', 'Service-Level Agreements', 'Help Desk Support']",N/A,"Virginia, United States",Business Analyst
G-III Apparel Group,2025-07-02,70000.0,https://jobright.ai/jobs/info/6841ffbd93089fd653f701ee?utm_campaign=Business%20Analyst&utm_source=1103,"Junior Business Analyst, Omnichannel Systems","['Business Analyst Experience', 'Project Coordinator Experience', 'Microsoft Office Proficiency']",Elinor Ittah,"New York, NY",Business Analyst
Sidecar Health,2025-07-02,90000.0,https://jobright.ai/jobs/info/6865b9b21431185a18fb8eaf?utm_campaign=Business%20Analyst&utm_source=1103,Business Analyst,"['SQL proficiency', 'BI tools familiarity', 'large datasets experience']",N/A,United States,Business Analyst
Conifer Health Solutions,2025-07-02,46925,https://jobright.ai/jobs/info/68658af4dacc710e97af2950?utm_campaign=Business%20Analyst&utm_source=1103,RCM Business Analyst - Remote,"['Workflow design', 'Workflow implementation', 'Technical writing', 'Data analysis', 'Microsoft Excel', 'Microsoft Word', 'Microsoft Visio', 'Healthcare Revenue Cycle']",N/A,"Frisco, TX",Business Analyst
MetaPhase,2025-07-02,65000.0,https://jobright.ai/jobs/info/68658712671b2427f5737e32?utm_campaign=Business%20Analyst&utm_source=1103,Junior Business Analyst,"['Business Analysis', 'Technical Project Support', 'Software Development Life Cycle', 'Agile/Scrum Frameworks']",N/A,United States,Business Analyst
Kemper,2025-07-02,53000.0,https://jobright.ai/jobs/info/6865b369e6c788a7a1adc442?utm_campaign=Business%20Analyst&utm_source=1103,Business Analyst,"['Business Analyst Experience', 'Information Technology Degree', 'Business Administration Degree', 'Computer Knowledge', 'Business Process Controls', 'Project Management', 'Technical Communication', 'MS Word Proficiency', 'MS Excel Proficiency', 'MS PowerPoint Proficiency']",N/A,"Dallas, Texas",Business Analyst
Kemper,2025-07-02,53000.0,https://jobright.ai/jobs/info/68658ff171c37de7722c7ad8?utm_campaign=Business%20Analyst&utm_source=1103,Business Analyst,"['Business Analyst Experience', 'Information Technology Degree', 'Business Administration Degree', 'Business Process Improvement', 'Project Management', 'MS Word Proficiency', 'MS Excel Proficiency', 'MS PowerPoint Proficiency']",N/A,"Birmingham, Alabama",Business Analyst
